Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,
2/10/2025,2/10/2025,2/11/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Buy,100,$603.48,"-$60,348.00",
2/10/2025,2/10/2025,2/11/2025,F,"Ford Motor
CUSIP: 345370860",Sell,20,$9.24,$184.80,
2/10/2025,2/10/2025,2/11/2025,NVDA,"NVIDIA
CUSIP: 67066G104",Sell,300,$134.40,"$40,317.32",
2/10/2025,2/10/2025,2/11/2025,XOM,"Exxon Mobil
CUSIP: 30231G102",Sell,59,$109.79,"$6,477.41",
2/10/2025,2/10/2025,2/11/2025,XOM,"Exxon Mobil
CUSIP: 30231G102",Sell,200,$109.79,"$21,957.35",
2/10/2025,2/10/2025,2/11/2025,XOM,"Exxon Mobil
CUSIP: 30231G102",Sell,41,$109.79,"$4,501.26",
2/10/2025,2/10/2025,2/11/2025,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,300,$129.59,"-$38,877.00",
2/10/2025,2/10/2025,2/11/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Sell,100,$602.99,"$60,297.30",
2/7/2025,2/7/2025,2/10/2025,XOM,"Exxon Mobil
CUSIP: 30231G102",Buy,300,$108.85,"-$32,655.00",
2/7/2025,2/7/2025,2/10/2025,BP,"British Petroleum
CUSIP: 055622104",Sell,100,$32.29,"$3,228.92",
2/7/2025,2/7/2025,2/10/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Buy,84,$600.80,"-$50,467.20",
2/7/2025,2/7/2025,2/10/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Buy,16,$600.80,"-$9,612.80",
2/7/2025,2/7/2025,2/10/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Sell,100,$608.05,"$60,803.28",
2/7/2025,2/7/2025,2/10/2025,F,"Ford Motor
CUSIP: 345370860",Buy,500,$9.29,"-$4,645.00",
2/5/2025,2/5/2025,2/6/2025,F,"Ford Motor
CUSIP: 345370860",Buy,1000,$9.50,"-$9,500.00",
2/5/2025,2/5/2025,2/6/2025,F,"Ford Motor
CUSIP: 345370860",Buy,100,$9.51,-$951.00,
2/5/2025,2/5/2025,2/6/2025,F,"Ford Motor
CUSIP: 345370860",Buy,200,$9.51,"-$1,902.00",
2/5/2025,2/5/2025,2/6/2025,F,"Ford Motor
CUSIP: 345370860",Buy,200,$9.51,"-$1,902.00",
2/5/2025,2/5/2025,2/6/2025,F,"Ford Motor
CUSIP: 345370860",Buy,200,$9.51,"-$1,902.00",
2/5/2025,2/5/2025,2/6/2025,F,"Ford Motor
CUSIP: 345370860",Buy,100,$9.51,-$951.00,
2/5/2025,2/5/2025,2/6/2025,F,"Ford Motor
CUSIP: 345370860",Buy,100,$9.51,-$951.00,
2/5/2025,2/5/2025,2/6/2025,F,"Ford Motor
CUSIP: 345370860",Buy,100,$9.51,-$951.00,
2/5/2025,2/5/2025,2/6/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Sell,19,$604.56,"$11,486.32",
2/5/2025,2/5/2025,2/6/2025,F,"Ford Motor
CUSIP: 345370860",Buy,2000,$10.18,"-$20,360.00",
2/5/2025,2/5/2025,2/6/2025,BP,"British Petroleum
CUSIP: 055622104",Buy,100,$31.68,"-$3,168.00",
2/5/2025,2/5/2025,2/6/2025,SBUX,"Starbucks
CUSIP: 855244109",Sell,5,$111.60,$557.98,
2/5/2025,2/5/2025,2/6/2025,F,"Ford Motor
CUSIP: 345370860",Sell,1195,$10.24,"$12,236.25",
2/5/2025,2/5/2025,2/6/2025,F,"Ford Motor
CUSIP: 345370860",Sell,15,$10.24,$153.60,
2/5/2025,2/5/2025,2/6/2025,F,"Ford Motor
CUSIP: 345370860",Sell,13,$10.24,$133.12,
2/5/2025,2/5/2025,2/6/2025,F,"Ford Motor
CUSIP: 345370860",Sell,1,$10.24,$10.24,
2/5/2025,2/5/2025,2/6/2025,F,"Ford Motor
CUSIP: 345370860",Sell,4,$10.24,$40.96,
2/5/2025,2/5/2025,2/6/2025,F,"Ford Motor
CUSIP: 345370860",Sell,2,$10.24,$20.48,
2/5/2025,2/5/2025,2/6/2025,F,"Ford Motor
CUSIP: 345370860",Sell,1,$10.24,$10.24,
2/5/2025,2/5/2025,2/6/2025,F,"Ford Motor
CUSIP: 345370860",Sell,769,$10.24,"$7,874.21",
2/5/2025,2/5/2025,2/6/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Sell,45,$600.51,"$27,022.19",
2/5/2025,2/5/2025,2/6/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Sell,25,$600.51,"$15,012.33",
2/5/2025,2/5/2025,2/6/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Sell,20,$600.51,"$12,009.86",
2/5/2025,2/5/2025,2/6/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Sell,5,$600.51,"$3,002.46",
2/5/2025,2/5/2025,2/6/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Sell,5,$600.51,"$3,002.46",
2/5/2025,2/5/2025,2/6/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Buy,100,$599.50,"-$59,950.00",
2/5/2025,2/5/2025,2/6/2025,F,"Ford Motor
CUSIP: 345370860",Buy,1700,$10.16,"-$17,272.00",
2/5/2025,2/5/2025,2/6/2025,PBR,"Petrobras
CUSIP: 71654V408",Buy,450,$14.07,"-$6,331.50",
2/5/2025,2/5/2025,2/6/2025,PBR,"Petrobras
CUSIP: 71654V408",Buy,550,$14.07,"-$7,738.50",
2/5/2025,2/5/2025,2/6/2025,PBR,"Petrobras
CUSIP: 71654V408",Buy,500,$14.09,"-$7,045.00",
2/4/2025,2/4/2025,2/5/2025,XOM,"Exxon Mobil
CUSIP: 30231G102",Sell,100,$109.90,"$10,989.67",
2/4/2025,2/4/2025,2/5/2025,F,"Ford Motor
CUSIP: 345370860",Buy,290,$10.14,"-$2,940.60",
2/4/2025,2/4/2025,2/5/2025,SBUX,"Starbucks
CUSIP: 855244109",Buy,5,$110.60,-$553.00,
2/4/2025,2/4/2025,2/5/2025,F,"Ford Motor
CUSIP: 345370860",Buy,10,$10.14,-$101.40,
2/4/2025,2/4/2025,2/5/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Sell,100,$601.36,"$60,134.30",
2/4/2025,2/4/2025,2/5/2025,XOM,"Exxon Mobil
CUSIP: 30231G102",Sell,100,$109.80,"$10,979.67",
2/4/2025,2/4/2025,2/5/2025,XOM,"Exxon Mobil
CUSIP: 30231G102",Sell,100,$109.82,"$10,981.67",
2/4/2025,2/4/2025,2/5/2025,XOM,"Exxon Mobil
CUSIP: 30231G102",Sell,100,$109.76,"$10,976.17",
2/4/2025,2/4/2025,2/5/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Sell,2,$601.30,"$1,202.56",
2/4/2025,2/4/2025,2/5/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Sell,31,$601.30,"$18,639.78",
2/3/2025,2/3/2025,2/4/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Buy,33,$597.03,"-$19,701.99",
2/3/2025,2/3/2025,2/4/2025,PBR,"Petrobras
CUSIP: 71654V408",Sell,1400,$14.21,"$19,893.21",
2/3/2025,2/3/2025,2/4/2025,PBR,"Petrobras
CUSIP: 71654V408",Sell,99,$14.21,"$1,406.73",
2/3/2025,2/3/2025,2/4/2025,PBR,"Petrobras
CUSIP: 71654V408",Sell,100,$14.21,"$1,420.94",
2/3/2025,2/3/2025,2/4/2025,PBR,"Petrobras
CUSIP: 71654V408",Sell,1,$14.21,$14.21,
2/3/2025,2/3/2025,2/4/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Buy,94,$598.35,"-$56,244.90",
2/3/2025,2/3/2025,2/4/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Buy,6,$598.35,"-$3,590.10",
2/3/2025,2/3/2025,2/3/2025,,Gold Subscription Fee,GOLD,,,-$5.00,
2/3/2025,2/3/2025,2/3/2025,,Gold Deposit Boost Payment,GDBP,,,$4.80,
,,,,,,,,,
,,,,,,,,,The data provided is for informational purposes only. Please consult a professional tax service or personal tax advisor if you need instructions on how to calculate cost basis or questions regarding your specific tax situation. Reminder: This data does not include Robinhood Crypto or Robinhood Spending activity.